block_lot,norm_address...2,norm_city,norm_state,lat,long,norm_address...7,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode,country,country_code,boundingbox,residential,neighbourhood,highway,man_made,building,shop,amenity,office,craft,leisure,town,railway
26906_9,47 TERHUNE AVE,JERSEY CITY,NJ,40.70262745,-74.09438879999999,"47, Terhune Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States",314246762,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11631426,40.70262745,-74.09438879999999,47,Terhune Avenue,Greenville,Jersey City,Hudson County,New Jersey,US-NJ,07305,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9205_23,28 MARION PL,JERSEY CITY,NJ,40.735242291666665,-74.07138391666666,"28, Marion Place, Indian Square, Marion, Jersey City, Hudson County, New Jersey, 07306, United States",314249305,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11632999,40.735242291666665,-74.07138391666666,28,Marion Place,Marion,Jersey City,Hudson County,New Jersey,US-NJ,07306,United States,us,,NA,Indian Square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2702_33,232 GRIFFITH ST,JERSEY CITY,NJ,40.7472965,-74.05255199999999,"232, Griffith Street, Jersey City, Hudson County, New Jersey, 07307, United States",314253035,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11633205,40.7472965,-74.05255199999999,232,Griffith Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4301_32,64 BEACH ST,JERSEY CITY,NJ,40.74427304347826,-74.05698960869566,"64, Beach Street, Jersey City, Croxton, Jersey City, Hudson County, New Jersey, 07307, United States",314251025,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,275580955,40.74427304347826,-74.05698960869566,64,Beach Street,Croxton,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403_33,3671 KENNEDY BLVD,JERSEY CITY,NJ,40.75585733333333,-74.047009,"JFK Boulevard at Leonard Street, John F. Kennedy Boulevard, Jersey City, Hudson County, New Jersey, 07307, United States",66417315,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6175888087,40.7559105,-74.046977,NA,John F. Kennedy Boulevard,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,JFK Boulevard at Leonard Street,NA,NA,NA,NA,NA,NA,NA,NA,NA
5602_2,177 LAIDLAW AVE,JERSEY CITY,NJ,40.73949075800462,-74.05822859068316,"Bergen Tunnels, Elm Street, Tonnelle Circle, Croxton, Jersey City, Hudson County, New Jersey, 07306, United States",267426859,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,837894297,40.7386207,-74.0549300223278,NA,Elm Street,Croxton,Jersey City,Hudson County,New Jersey,US-NJ,07306,United States,us,,NA,Tonnelle Circle,NA,Bergen Tunnels,NA,NA,NA,NA,NA,NA,NA,NA
4701_36,3224 KENNEDY BLVD,JERSEY CITY,NJ,40.7428438,-74.05949869999999,"JFK Boulevard at Cliff Street, John F. Kennedy Boulevard, Jersey City, Croxton, Jersey City, Hudson County, New Jersey, 07307, United States",66841175,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6175888114,40.7430746,-74.0593219,NA,John F. Kennedy Boulevard,Croxton,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,JFK Boulevard at Cliff Street,NA,NA,NA,NA,NA,NA,NA,NA,NA
2203_14,214 CAMBRIDGE AVE,JERSEY CITY,NJ,40.750081571428574,-74.045616,"214, Cambridge Avenue, Jersey City, Hudson County, New Jersey, 07307, United States",314257173,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,60356197,40.750081571428574,-74.045616,214,Cambridge Avenue,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4701_38,3228 KENNEDY BLVD,JERSEY CITY,NJ,40.7429294,-74.0594361,"JFK Boulevard at Cliff Street, John F. Kennedy Boulevard, Jersey City, Croxton, Jersey City, Hudson County, New Jersey, 07307, United States",66841175,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6175888114,40.7430746,-74.0593219,NA,John F. Kennedy Boulevard,Croxton,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,JFK Boulevard at Cliff Street,NA,NA,NA,NA,NA,NA,NA,NA,NA
4701_39,3230 KENNEDY BLVD,JERSEY CITY,NJ,40.7429722,-74.0594048,"JFK Boulevard at Cliff Street, John F. Kennedy Boulevard, Jersey City, Croxton, Jersey City, Hudson County, New Jersey, 07307, United States",66841175,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6175888114,40.7430746,-74.0593219,NA,John F. Kennedy Boulevard,Croxton,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,JFK Boulevard at Cliff Street,NA,NA,NA,NA,NA,NA,NA,NA,NA
