block_lot,postcode,lat,long
29701_16,07305,40.69352822476284,-74.09851612672412
3403_10,07307,40.74855732,-74.0542576
22501_47,07305,40.71198021428572,-74.08043243877552
2104_20,07307,40.75062223529412,-74.05117482352941
4403_48,07307,40.74242935483871,-74.0508195483871
1405_34,07307,40.752682,-74.051996
11405_3,07302,40.720007,-74.045101
17907_31,NA,NA,NA
23203_51,07305,40.707301916666665,-74.08046791666666
26201_22,NA,NA,NA
402_39,07307,40.75642493939394,-74.04741863636363
403_57,07307,40.756001814814816,-74.04842818518519
2203_38,07307,40.749205,-74.04534
1301_74,07307,40.75259182352941,-74.0529828235294
26906_9,07305,40.70262745,-74.09438879999999
9205_23,07306,40.735242291666665,-74.07138391666666
2702_33,07307,40.7472965,-74.05255199999999
4301_32,07307,40.74427304347826,-74.05698960869566
403_33,07307,40.75585733333333,-74.047009
5602_2,07306,40.73949075800462,-74.05822859068316
4701_36,07307,40.7428438,-74.05949869999999
2203_14,07307,40.750081571428574,-74.045616
4701_38,07307,40.7429294,-74.0594361
4701_39,07307,40.7429722,-74.0594048
1203_59,07307,40.75377662162162,-74.05331951351351
3804_14,07307,40.743750368421054,-74.04656763157894
29201_3,07305,40.69759176086957,-74.09655352173914
3404_34,07307,40.747283,-74.05455366666666
29801_66,07305,40.69202613751623,-74.09920272014121
9903_6,07302,40.7247172,-74.05021998987228
13504_7,07306,40.72565359646766,-74.0665736536489
19902_36,07304,40.70980622222222,-74.06649566666667
25201_71,07305,40.702533,-74.08134571428572
13504_10,07306,40.72572329411764,-74.06579288235295
3901_24,07307,40.7422105,-74.04556325
19003_2,07304,40.715483,-74.060766
19003_3,07304,40.71271572727273,-74.05755418181818
19003_4,07304,40.71268363636364,-74.0575149090909
19003_5,07304,40.71265154545455,-74.05747563636363
1402_21,07307,40.75261382608696,-74.04848726086956
4405_20,07307,40.743989142857146,-74.04878028571429
19302_1,07304,40.719426,-74.082442
2104_59,07307,40.75012991304348,-74.05139956521738
5007_20,07307,40.73942368181818,-74.0504494090909
303_10,07307,40.757996,-74.049349
4307_9,07307,40.74420733333333,-74.057295
2703_11,07307,40.74847358823529,-74.0517955882353
13504_14,07306,40.725467,-74.064843
2603_40,07307,40.74984275,-74.0527005
17906_14,07304,40.718815500000005,-74.0730795
4505_35,07307,40.74083975,-74.047488
10901_106,07306,40.7349128,-74.059413
11902_23,07306,40.732607375,-74.076554125
29101_11,07305,40.69472542857143,-74.10053007142858
21509_3,07304,40.705521204081634,-74.07107681632652
1504_24,07307,40.751729,-74.04620355555555
2302_3,07307,40.74871557142857,-74.04438285714285
3805_6,07307,40.74407021052632,-74.04539468421052
29401_30,07305,40.691254,-74.093018
504_18,07307,40.7549180967742,-74.044017
3903_6,07087,40.74166942105264,-74.04567536842104
4505_33,07307,40.7409325,-74.047428
5705_35,07306,40.73694944444444,-74.05456111111111
2304_30,07307,40.74776071428572,-74.04257199999999
11110_3,07302,40.72302492307692,-74.04878634615385
2204_29,07307,40.749339285714285,-74.04424042857143
20401_65,07304,40.71924596268729,-74.0899137278107
20401_66,07304,40.71926612779926,-74.08995042480281
11007_13,NA,NA,NA
16902_7,07306,40.718734727272725,-74.07144172727273
2602_37,07307,40.74969633333333,-74.05593313333333
1507_10,07307,40.750656,-74.047339
2103_8,07307,40.750827,-74.04978216666667
1401_14,07307,40.753021,-74.04902700000001
3601_8,07307,40.74723565714285,-74.05491002857143
3404_29,07307,40.747127285714285,-74.05414997619047
10501_12,07306,40.733398071428574,-74.07102642857143
28502_19,07305,40.69719459000304,-74.0982572641675
1301_34,07307,40.754951,-74.05229735897436
6304_12,07306,40.738148074268125,-74.0636353168293
17505_4,07304,40.71326951020408,-74.05742191836735
17505_5,07304,40.71325555102041,-74.05744159183674
12004_24,07306,40.730274,-74.0697635
3903_32,07087,40.7432736,-74.0446274
2306_52,07307,40.74646528571429,-74.04387728571429
3903_30,07087,40.731689,-74.0529296
3903_29,07087,40.7431122,-74.0447328
3903_28,07087,40.7430584,-74.04476793333333
9601_38,07306,40.73113276190476,-74.05702852380952
9802_33,NA,NA,NA
9802_32,NA,NA,NA
3903_63,07307,40.74172910810811,-74.04485118918919
24903_10,07305,40.7049807808048,-74.08737240222331
29801_84,07305,40.69309535511507,-74.10011055044943
501_1,07306,40.7394629,-74.0620435
9802_2,NA,NA,NA
11902_21,07306,40.73258225,-74.07656975
3805_40,07307,40.74422115789474,-74.04601884210527
22202_7,07305,40.713811,-74.08898950000001
9301_18,07306,40.735534303970674,-74.06863049980954
28504_36,07305,40.69860706633428,-74.09816829423244
2602_36,07307,40.74965544444444,-74.05596044444444
4702_30,07307,40.74183325114016,-74.05610835118065
12202_34,07306,40.7262782,-74.0652168
10704_36,07306,40.7296915,-74.0628844
2104_76,07307,40.75071256521739,-74.05284582608695
10301_37,07306,40.7363321875,-74.07483606250001
16202_21,07304,40.72517475,-74.079429
15203_10,07306,40.7229208,-74.0679475
4403_46,07307,40.74236219354838,-74.05066193548387
5304_13,07306,40.742699,-74.062069375
3903_50,07307,40.74248205405405,-74.0443715945946
603_59,07307,40.75571514285714,-74.05204557142858
2603_23,07307,40.75024286956521,-74.05214334782609
3001_38,07307,40.7446957,-74.04465623975324
